title,desc,source,cat
The US economy could fall off a fiscal cliff. Investors don't seem to care,The economy is once again teetering on the edge of a so-called fiscal cliff. Investors don't seem to care.,cnn,bus
Andrew Yang: It's a 'ridiculous fantasy' to think America's economy will snap back to normal,"From grocery stores and factories to meatpacking plants and food delivery, the pandemic is turbocharging the rise of robots and automation, Andrew Yang tells CNN Business.",cnn,bus
Google will let employees work from home until at least next summer,"Google will let employees work from home until at least July 2021, a company spokesperson said on Monday.",cnn,bus
Bugatti made a car for kids that costs more than yours,"The Baby II is a scaled down Bugatti that can still go 42 mph and cost up to $68,000. The little car is an homage to the one Ettore Bugatti built for his four-year-old son in 1926.",cnn,bus
Target and Dick's Sporting Goods will close stores on Thanksgiving Day,Target will close stores this Thanksgiving as the coronavirus pandemic forces major retailers to alter their upcoming holiday shopping plans.,cnn,bus
Under Armour notified that the company and CEO could face civil charges,Under Armour's two highest-ranking executives received a notice that they could face civil charges for past accounting practices.,cnn,bus
Baseball games are getting postponed and that's spooking Wall Street,"DraftKings, the high-flying sports betting company, has been hit with a reality check.",cnn,bus
"Masks, no guests and bathroom lines: What the post-pandemic office will look like",More time waiting for elevators. More time waiting to use the bathrooms. Less opportunities to meet with colleagues. Less need to freshen your lipstick.,cnn,bus
Garmin is slowly coming back online after a massive ransomware hack,"Five days after a massive ransomware attack, some of Garmin's services are beginning to come back online.",cnn,bus
Sinclair drops segment featuring conspiracy theory about Fauci,"The Sinclair Broadcast Group said Monday it will not move forward with airing a segment featuring a conspiracy theory that suggested Dr. Anthony Fauci, the nation's top infectious disease expert, was responsible for the creation of the coronavirus.",cnn,bus
Why Fox News' Jesse Watters seized on QAnon,"A version of this article first appeared in the ""Reliable Sources"" newsletter. You can sign up for free right here.",cnn,bus
These 4 countries are accepting American travelers for remote-work trips,"Digital nomads don’t have many options during the pandemic, but a few nations are welcoming working travelers.",wp,bus
Congress prepares for epic clash with Big Tech,"Long-simmering frustrations with Amazon, Apple, Facebook and Google are set to be at the heart of a hearing Wednesday that some Democrats and Republicans hope will usher in sweeping changes throughout Silicon Valley.",wp,bus
Sen. Collins says she will vote against Trump’s Fed pick,"Senators Susan Collins (R-Maine) and Mitt Romney (R-Utah) alone can’t derail Judy Shelton’s advancement, but the margin is getting thinner.",wp,bus
Twitter and Instagram face backlash after anti-Semitic posts by rapper,The management company of British rapper Wiley said it would no longer work with the artist.,wp,bus
New Senate GOP coronavirus bill includes unrelated White House demand for FBI headquarters money,Provision appears unrelated to pandemic response but reflects Trump’s ongoing interest in new downtown FBI building,wp,bus
‘Tenet’ will hit international theaters Aug. 26 and parts of the U.S. on Labor Day weekend,"A movie, finally, may head to theaters.",wp,bus
Google employees will work from home until at least summer 2021,The tech giant is the first major U.S. corporation to extend its work-from-home timeline so far into the next year.,wp,bus
